"pesticide_id";"pesticide_name";"pesticide_code";"price";"quantity";"type";"iupa_number";"mfg_local";"company_name"
623;"Fipronil Technical 90% 92% min 95%min.";123;0.0;0.0;"Insecticide";"520";"Y";"Sujanil Chemo Industries Pune 92.0% Min. 9 (4) "
624;"Fipronil Technical 90% 92% min 95%min.";123;0.0;0.0;"Insecticide";"520";"Y";"Excel Phosphorus (P) Ltd. 92.0% Min. 9 (4) "
625;"Fipronil Technical 90% 92% min 95%min.";123;0.0;0.0;"Insecticide";"520";"Y";"Sahib Pesticides Karnal 92.0% Min. 9 (4) "
626;"Fipronil Technical 90% 92% min 95%min.";123;0.0;0.0;"Insecticide";"520";"Y";"M/s Synergia Science Pvt. Ltd. 92.0% 9(4) in 342th "
627;"Fipronil Technical 90% 92% min 95%min.";123;0.0;0.0;"Insecticide";"520";"Y";"Anu Products Ltd. New Delhi 92.0% Min. 9 (4) "
628;"Fipronil Technical 90% 92% min 95%min.";123;0.0;0.0;"Insecticide";"520";"Y";"Bayer Crop Science Ltd. Mumbai. "
629;"Fipronil Technical 90% 92% min 95%min.";123;0.0;0.0;"Insecticide";"520";"Y";"M/s Bonageri Crop Science Ltd. 92% min 9(4) in 386th RC "
630;"Fipronil Technical 90% 92% min 95%min.";123;0.0;0.0;"Insecticide";"520";"Y";"M/s Crimsun Organics Pvt. Ltd. 92.0% Min. 9(4) in 397th RC. "
631;"Flonicamid 50% WG (WRT)";124;0.0;0.0;"Insecticide";"731";"N";"United Phosphorous Limited Mumbai"
632;"Flubendiamide Technical 95% min";125;0.0;0.0;"Insecticide";"714";"N";"Nihon Nohyaku Co. Ltd. Tokyo (Japan) Through Supplier: Sojitz corporation Minato-ku Tokyo Japan."
633;"Flubendiamide Technical 95% min";125;0.0;0.0;"Insecticide";"714";"N";"Bayer Crop Science AG Germany. change to M/s Bayer AG Germany ( By M/s Bayer CropScience Ltd. in 392nd RC.)"
634;"Fluazifop-p-butyl tech";126;0.0;0.0;"Herbicide";"732";"N";"Syngenta Ltd. Huddersfield United Kingd"
635;"Flufenacet Tech. 95% min";127;0.0;0.0;"Herbicide";"573";"N";"Bayer Crop Science LP P.B. No 4913 Kansas City
Missouri USA-64120"
636;"Flufenacet Tech. 95% min";127;0.0;0.0;"Herbicide";"573";"N";"Bayer Crop Science AG
Monheim Germany change to M/s Bayer AG Germany ( By M/s Bayer CropScience Ltd.in 392nd RC.)"
637;"Fluchloralin Technical 55% min. & 65% min.";128;0.0;0.0;"Herbicide";"146";"N";"BASF Wayandotte Corpn USA"
638;"Fluchloralin Technical 55% min. & 65% min.";128;0.0;0.0;"Herbicide";"146";"N";"BASF West German."
639;"Flufenoxuron Technical 95% min.";129;0.0;0.0;"Insecticide";"423";"N";"Great Lakes (UK) Ltd Halebank Widnes Cheshire WA8 8 NS UK. (earlier BASF Agro-production France)."
640;"Flufenoxuron Tech. 94% min.";130;0.0;0.0;"Insecticide";"423";"N";"Great Lakes (UK) Ltd. Halebank Widnes Cheshire WAB 8NS UK."
641;"Flufenoxuron Tech. 94% min.";130;0.0;0.0;"Insecticide";"423";"N";"Agrishell S.N.C. Zone France.
(through Shell International Chemical Co. Ltd.)"
642;"Flufenzine (Flumite) Technical";131;0.0;0.0;"";"665";"N";"Agro Chemie Pesticides mfg Trading and Distributing Co. Ltd Hungary"
643;"Fluopicolide Technical";132;0.0;0.0;"";"740";"N";"Bayer (Schweiz) AG Switzerland"
644;"Fluopyram Technical 94.5%";133;0.0;0.0;"";"782";"N";"Bayer Crop Science AG Germany. change to M/s Bayer AG Germany ( By M/s Bayer CropScience Ltd. in 392nd RC.)"
645;"Fluopyram Technical 94.5% w/wmin";134;0.0;0.0;"";"811";"N";"M/s Bayer CropScience AG  Germany Supplier same as manufacturerer Valid upto 31.01.2024 (By Bayer CropScience limited Mumbai in 357th RC for 94.5% w/wmin)"
646;"Flupyradifurone Tech. 96% Min";135;0.0;0.0;"";"830";"N";"Bayer Crop Science AG Germany. change to M/s Bayer AG Germany ( By M/s Bayer CropScience Ltd. in 392nd RC.)"
647;"Fluxapyroxad Technical 98% min";136;0.0;0.0;"";"827";"N";"M/s BASI- SE Carl-Bosch- Strasse 38 D-67056 Ludwigshafen Germany'(by M/s BASF India Ltd. Mumabi)"
648;"Fluxapyroxad 62.5% + Epoxyconazole 62.5%g/L EC";137;0.0;0.0;"";"827";"N";"M/s BASF Espanola S.L Ctr. Nacional 340 Km 1156 43006 Tarragona Spain(by M/s BASF India Ltd. Mumbai)"
