"fertilizer_id";"fertilizer_name";"fertilizer_code";"fertilizer_type";"brand_name";"company_name";"price";"quantity";"image_path"
82;"Imported 20-20-0-13";"82";"";"Urea";"IPL";0.0;0.0;"/images/urea_kaibhco.jpg"
83;"Imported 20-20-0-13";"83";"";"Urea";"GSFC";0.0;0.0;"/images/urea_kaibhco.jpg"
84;"Imported DAP";"84";"";"Urea";"GFL";0.0;0.0;"/images/urea_kaibhco.jpg"
85;"Zincated DAP";"85";"";"Urea";"CIL";0.0;0.0;"/images/urea_kaibhco.jpg"
86;"City Compost";"86";"";"Biofertilizer";"KRIBHCO";0.0;0.0;""
88;"SSP-Powdered";"88";"";"Phosporous";"GFL";0.0;0.0;""
89;"City Compost";"89";"";"Biofertilizer";"GFL";0.0;0.0;""
90;"SSP-Powdered";"90";"";"Phosporous";"BFL";0.0;0.0;""
91;"SSP-Granular";"91";"";"Phosporous";"BFL";0.0;0.0;""
92;"MOP";"92";"";"Potash";"MCFL";0.0;0.0;""
93;"SSP-Zincated(Powder)";"93";"";"Phosporous";"BalajiPhos";0.0;0.0;""
94;"SSP-Granular";"94";"";"Phosporous";"Ranar Agrochem";0.0;0.0;""
95;"SSP-Granular";"95";"";"Phosporous";"Chemtech";0.0;0.0;""
96;"City Compost";"96";"";"Biofertilizer";"MFL";0.0;0.0;""
97;"Imported DAP";"97";"";"Urea";"NFL";0.0;0.0;"/images/urea_kaibhco.jpg"
98;"SSP-Granular";"98";"";"Phosporous";"Shiva Global";0.0;0.0;""
99;"12-32-16";"99";"";"NPK";"CIL";0.0;0.0;""
100;"12-32-16";"100";"";"NPK";"Smartchem";0.0;0.0;""
101;"26/10/26";"101";"";"NPK";"IFFCO";0.0;0.0;""
102;"SSP-Powdered";"102";"";"Phosporous";"Ranar Agrochem";0.0;0.0;""
103;"Imported DAP";"103";"";"Urea";"KRIBHCO";0.0;0.0;"/images/urea_kaibhco.jpg"
104;"RCF Thal Urea(50 Kg)";"104";"";"Urea";"RCF";0.0;0.0;"/images/urea_kaibhco.jpg"
105;"SSP-Granular";"105";"";"Phosporous";"CIL-Nimrani";0.0;0.0;""
106;"Urea(50 Kg)";"106";"";"Urea";"MFL";0.0;0.0;"/images/urea_kaibhco.jpg"
107;"Imported Urea(50 Kg)";"107";"";"Urea";"SPIC";0.0;0.0;"/images/urea_kaibhco.jpg"
108;"17-17-17";"108";"";"NPK";"CIL";0.0;0.0;""
109;"MOP";"109";"";"Potash";"PPL";0.0;0.0;""
110;"20-20-0-13(UAP)";"110";"";"NPK";"CIL";0.0;0.0;""
111;"NFCL Kakinada-II Urea(50 Kg)";"111";"";"NPK";"NFCL";0.0;0.0;""
112;"NFCL Kakinada-I Urea(50 Kg)";"112";"";"NPK";"NFCL";0.0;0.0;""
113;"Imported Neem Coated Urea(45 Kg)";"113";"";"Urea";"MCFL";0.0;0.0;"/images/urea_kaibhco.jpg"
114;"Imported Urea(50 Kg)";"114";"";"Urea";"NFCL";0.0;0.0;"/images/urea_kaibhco.jpg"
